epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,b
0,0.37975253854368685,6.0,6,True,False,tanh((a*(1.0*sqrt_eu2))),[tanh mul a mul 1.0 sqrt_eu2],0.03138653229458094,1.0
0,0.5910189412841504,6.0,6,True,False,tanh((b*(sqrt_eu1*1.0))),[tanh mul b mul sqrt_eu1 1.0],1.0,1.9885007947665172
0,0.5001179801849703,6.0,6,True,False,(a*tanh((b*b))),[mul a tanh mul b b],0.7007855202039547,0.7071635339727806
0,0.5001179775388521,6.0,6,True,False,(a*tanh((b*a))),[mul a tanh mul b a],0.660899357311953,0.8113204326683464
0,0.18284420722234324,8.0,8,True,False,(d*tanh(((1.0*b)*f))),[mul d tanh mul mul 1.0 b f],1.0,1.0
0,0.3241827883290338,6.0,6,True,False,(sqrt_eu2*tanh((a*sqrt_eu2))),[mul sqrt_eu2 tanh mul a sqrt_eu2],0.0014195899297116535,1.0
0,0.3233359212007067,4.0,4,True,False,(sqrt_eu1*tanh(sqrt_eu1)),[mul sqrt_eu1 tanh sqrt_eu1],1.0,1.0
0,0.18284420336824972,4.0,4,True,False,tanh((f*sqrt_eu2)),[tanh mul f sqrt_eu2],1.0,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((d*b)),[tanh mul d b],1.0,0.3359847202622447
0,0.5001063530634414,4.0,4,True,False,(b*tanh(sqrt_eu2)),[mul b tanh sqrt_eu2],1.0,0.3238952517433889
0,0.535138022833241,8.0,8,True,False,(a*tanh((f*(1.0*sqrt_eu1)))),[mul a tanh mul f mul 1.0 sqrt_eu1],0.3641462226417251,1.0
0,0.5001179799150581,4.0,4,True,False,(a*tanh(f)),[mul a tanh f],0.32388882973831495,1.0
0,0.44509717024163037,4.0,4,True,False,(sqrt_eu1*tanh(f)),[mul sqrt_eu1 tanh f],1.0,1.0
0,0.18284420722234324,6.0,6,True,False,tanh((d*(f*b))),[tanh mul d mul f b],1.0,1.0
0,0.012002222987312983,5.0,5,True,False,(f*(sqrt_eu1*sqrt_eu2)),[mul f mul sqrt_eu1 sqrt_eu2],1.0,1.0
0,0.4450970500019293,4.0,4,True,False,(sqrt_eu1*tanh(a)),[mul sqrt_eu1 tanh a],7.477494054538457,1.0
0,0.5001179799150569,6.0,6,True,False,(b*tanh((f*a))),[mul b tanh mul f a],0.9999997145912434,0.323888829738285
0,0.18284420722234324,4.0,4,True,False,tanh((f*b)),[tanh mul f b],1.0,1.0
0,0.5001179800116187,5.0,5,True,False,(tanh(d)*tanh(a)),[mul tanh d tanh a],0.45412647751623003,1.0
0,0.44243426086712634,6.0,6,True,False,(1.0*tanh((1.0*sqrt_eu1))),[mul 1.0 tanh mul 1.0 sqrt_eu1],1.0,1.0
0,0.02315774514736682,6.0,6,True,False,(1.0*(tanh(1.0)*sqrt_eu2)),[mul 1.0 mul tanh 1.0 sqrt_eu2],1.0,1.0
