materials,RL,RL_z_xy,zin/z0,a,b,r,theta,a_1,b_1,r_1,tehta_1,z_xy,z,r1,RL_r,RL_r1,theta_eu1,theta_eu2,theta1,d,f,e1,e2,u1,u2,tane,tanu,ac,C0,dm,e12,u12,sqrt_eu1,sqrt_eu2,tanh_eu,z1,z2,e_c,u_c,sqrt_eu1_c,sqrt_eu2_c,tanh_eu_c,zin/z0_c,z1_c,z2_c,z_c
sample178,-4.270870988468161,-4.270870988468159,0.5203782830931629,0.2894654213593132,0.4324388134201916,0.5203782830931629,0.9809183664409512,-0.3942243733136221,0.4675710753078415,0.6115844724803347,2.2712899220999296,0.6115844724803348,0.6115844724803347,0.1789172553140607,-10.02105636334637,-3.1419279788170718,0.1815776769904877,0.2847603909102369,1.9455492294054808,1,11.035,24.982,1.29,1.099,0.261,0.051637178768713474,0.2374886260236579,174.35738561342853,1.9582709661389076e-11,1.2962442755078245,25.015283808104197,1.1295671737439965,0.21249725006660145,5.315679018857724,2.4488706697619125,0.8317828531512065,1.3600457346110144,(24.982-1.29j),(1.099-0.261j),(0.21162208513291517-0.01926588616869095j),(5.261889937632875-0.754292858087698j),(1.1720930973990484+2.150154721932741j),(0.2894654213593132+0.4324388134201916j),(-0.7105345786406868+0.4324388134201916j),(1.289465421359313+0.4324388134201916j),(-0.39422437331362203+0.4675710753078415j)
sample179,-4.3032773240036715,-4.303277324003671,0.5407231455582721,0.29629007347690006,0.4523203648980283,0.5407231455582721,0.9908828906103054,-0.37540205310787467,0.4799252661671619,0.6093069526792131,2.234594810997199,0.6093069526792131,0.609306952679213,0.17948603442441988,-10.513000948078478,-3.1521365133018553,0.1739746755987962,0.270244580564716,1.9272319183641142,1,11.077,25.139,1.211,1.107,0.25,0.04817216277497117,0.22583559168925024,167.05332644241986,1.8417157885215762e-11,1.282630822346453,25.168151342520172,1.1348784075838256,0.212348407398899,5.344416854758619,2.546396048746988,0.836541315888601,1.37293906168345,(25.139-1.211j),(1.107-0.25j),(0.21154551522794954-0.01844833628786481j),(5.295701772070818-0.7199543448816804j),(1.2049690291825796+2.243252655361198j),(0.29629007347690006+0.4523203648980283j),(-0.7037099265230999+0.4523203648980283j),(1.2962900734769+0.4523203648980283j),(-0.37540205310787456+0.47992526616716186j)
sample180,-4.323823941800205,-4.323823941800206,0.5610604190062055,0.302653949304441,0.472429233585141,0.5610604190062055,1.001033912876513,-0.35686286474131296,0.4920890030787948,0.6078673302476937,2.1982354934966253,0.6078673302476936,0.6078673302476937,0.17962774365808612,-11.020299350153229,-3.154680267180982,0.16762818171228303,0.2557866086193744,1.909600699475516,1,11.119,25.347,1.118,1.112,0.239,0.04410778395865388,0.2149280575539568,159.58304005935724,1.7382914587348116e-11,1.2696681663540577,25.37164427072081,1.1373939511004971,0.21172939195420526,5.371922814318112,2.649893875516143,0.8423068889463845,1.3856755364746471,(25.347-1.118j),(1.112-0.239j),(0.210986148692176-0.01772513687790545j),(5.328049207871087-0.6851615586821223j),(1.2376252693318466+2.3431221146601042j),(0.302653949304441+0.472429233585141j),(-0.697346050695559+0.472429233585141j),(1.3026539493044411+0.472429233585141j),(-0.35686286474131296+0.4920890030787948j)
sample181,-4.484483244861577,-4.484483244861577,0.5768642849647891,0.3164238863192943,0.48233632191089626,0.5768642849647891,0.9901984175720213,-0.33944889501571346,0.49077266078472886,0.596727204760359,2.1759045013007707,0.5967272047603591,0.5967272047603591,0.18016673884420642,-11.426292659951695,-3.164356732465225,0.16610740035709062,0.25375539237883993,1.9068090925573853,1,11.161,25.472,1.117,1.117,0.238,0.043852072864321606,0.21307072515666964,159.6385608261446,1.709100112215068e-11,1.2589556159186848,25.496479619743585,1.142073990597807,0.21164451146018118,5.3961899730750975,2.7256283708227436,0.8366149835075564,1.4020057688563645,(25.472-1.117j),(1.117-0.238j),(0.2109149778113011-0.01755765833125584j),(5.352814410453449-0.6828207032289721j),(1.3008577518386304+2.3951657824282617j),(0.3164238863192943+0.48233632191089626j),(-0.6835761136807057+0.48233632191089626j),(1.3164238863192943+0.48233632191089626j),(-0.33944889501571346+0.4907726607847289j)
sample182,-4.608382942712586,-4.608382942712583,0.5942492214657317,0.32868175455106713,0.4950761976078634,0.5942492214657317,0.98471061938836,-0.3217454680755366,0.49249168832107426,0.5882756235749432,2.149488832085519,0.5882756235749433,0.5882756235749432,0.1808613900656874,-11.885937035495843,-3.1768305232865135,0.16333608099814334,0.24923234828028415,1.9009003887793559,1,11.203,25.55,1.098,1.123,0.235,0.04297455968688846,0.20926090828138913,157.9978215698861,1.66331312223557e-11,1.2489698964971214,25.57358215033631,1.1473247142810095,0.21181045439529436,5.416752055778124,2.8055707786580983,0.8341274651457616,1.4179194780786257,(25.55-1.098j),(1.123-0.235j),(0.21110449410923404-0.01727892236296713j),(5.374747567736392-0.6732692009057492j),(1.355925947331718+2.45615394863856j),(0.32868175455106713+0.4950761976078634j),(-0.6713182454489328+0.4950761976078634j),(1.3286817545510672+0.4950761976078634j),(-0.32174546807553656+0.4924916883210742j)
sample183,-4.925257696997809,-4.925257696997811,0.6213173072215284,0.35564488054762433,0.5094623785847952,0.6213173072215283,0.9613609295404327,-0.29273708949863997,0.4858211187539872,0.5672011662501325,2.113097135736435,0.5672011662501325,0.5672011662501326,0.18193237363867484,-12.631851240868187,-3.196068435831628,0.15751866973163553,0.24911864752988575,1.8978779823957035,1,11.245,25.768,1.181,1.135,0.234,0.045832039739211426,0.20616740088105728,160.00213266367265,1.615342704489767e-11,1.2324630017945661,25.795049621972044,1.1588705708576779,0.21195774150619556,5.467460459913439,2.931326323852942,0.8214288984189456,1.4482144031006805,(25.768-1.181j),(1.135-0.234j),(0.21130069083939065-0.016676397548735452j),(5.4251013760443625-0.6792635279171356j),(1.4835927279621337+2.528166654801672j),(0.35564488054762433+0.5094623785847952j),(-0.6443551194523757+0.5094623785847952j),(1.3556448805476244+0.5094623785847952j),(-0.29273708949864+0.48582111875398726j)
sample184,-5.318620872708033,-5.318620872708035,0.6284589377211859,0.3806599018072374,0.5000586721153286,0.6284589377211859,0.9201463715541548,-0.28059400455064953,0.46381598871396446,0.5420869549956744,2.114861037053744,0.5420869549956743,0.5420869549956744,0.1828706074684818,-12.835399873176108,-3.2129281562593395,0.15811195801671732,0.263595436930641,1.9126514159389998,1,11.287,25.8,1.362,1.14,0.244,0.05279069767441861,0.21403508771929827,170.52345185963375,1.6634187733388223e-11,1.2244211802449854,25.83592545274893,1.1658198831723534,0.2124240661067607,5.48817233630408,2.958511006965346,0.7960155983315694,1.468427880427267,(25.8-1.362j),(1.14-0.244j),(0.2117606027172879-0.01677590528527175j),(5.4405747671074876-0.7212362972609574j),(1.6004755594820161+2.488225343861732j),(0.3806599018072374+0.5000586721153286j),(-0.6193400981927626+0.5000586721153286j),(1.3806599018072374+0.5000586721153286j),(-0.2805940045506496+0.4638159887139645j)
sample185,-5.666711750769954,-5.666711750769954,0.6361952223920271,0.4026603489362004,0.4925535548435501,0.6361952223920271,0.8854780237878925,-0.2693385140936812,0.4457367016119383,0.5207921296813943,2.1143384396968674,0.5207921296813943,0.5207921296813943,0.18380892203524654,-13.059334442827698,-3.2297953149354703,0.15874083275674192,0.274526382773006,1.9238967991513771,1,11.329,25.812,1.496,1.145,0.252,0.05795753912908724,0.2200873362445415,178.78145075174479,1.6966723822700366e-11,1.2169324974523927,25.855315894415217,1.1724030876793186,0.2129430904190627,5.5057108703178885,2.9876302684441307,0.7742245560055816,1.4866287562356788,(25.812-1.496j),(1.145-0.252j),(0.2122727076086003-0.016883641838620057j),(5.453925200602615-0.753360533720927j),(1.7015793031455224+2.4557203619366654j),(0.4026603489362004+0.4925535548435501j),(-0.5973396510637996+0.4925535548435501j),(1.4026603489362004+0.4925535548435501j),(-0.2693385140936812+0.44573670161193835j)
sample186,-5.884378010735384,-5.884378010735386,0.6435470497646885,0.41708194981312774,0.49009739073057096,0.6435470497646884,0.865711263785645,-0.260571472633606,0.43596828655434783,0.5079033758812596,2.109511489257163,0.5079033758812596,0.5079033758812597,0.18444849455461276,-13.27559855125317,-3.2412957310103874,0.1568110307744082,0.2796060507254626,1.9280115661126667,1,11.35,25.848,1.589,1.15,0.255,0.06147477561126586,0.22173913043478263,182.98185953980243,1.6988249793892562e-11,1.211193085849979,25.89679565119978,1.177932510800173,0.21327364395933288,5.5231039754015825,3.0174710658922312,0.7615700267438175,1.4994387966459617,(25.848-1.589j),(1.15-0.255j),(0.21261843786641516-0.016704702539633513j),(5.4692176096356215-0.7696338490141806j),(1.76962154976941+2.4440890335846013j),(0.41708194981312774+0.49009739073057096j),(-0.5829180501868723+0.49009739073057096j),(1.4170819498131277+0.49009739073057096j),(-0.2605714726336061+0.4359682865543479j)
sample187,-6.248803273084821,-6.248803273084821,0.6461780654831648,0.43699398493651553,0.4760066695340199,0.6461780654831647,0.8281023677966239,-0.254176412779639,0.41544804189401985,0.48703462333503633,2.1198564325780227,0.48703462333503633,0.48703462333503633,0.1851880584974302,-13.353841159245297,-3.254597637062183,0.1572879125870706,0.2928879504740151,1.9415319067675505,1,11.392,25.86,1.756,1.153,0.264,0.06790409899458623,0.2289679098005204,192.80682554326123,1.7431924489281168e-11,1.2048770909921025,25.919551230682988,1.1828376896260957,0.21362340749863612,5.537022854733967,3.024846729342103,0.7372639435361898,1.5137813785961949,(25.86-1.756j),(1.153-0.264j),(0.2129631312132543-0.016782877440253696j),(5.47775584038967-0.8079684690154352j),(1.864247176433419+2.3820747681740895j),(0.43699398493651553+0.4760066695340199j),(-0.5630060150634845+0.4760066695340199j),(1.4369939849365156+0.4760066695340199j),(-0.254176412779639+0.41544804189401985j)
sample188,-6.435736774975963,-6.435736774975961,0.6358952387491803,0.4421732357445086,0.45699626284588823,0.6358952387491802,0.801881912633851,-0.2602502924049174,0.3993484691054932,0.4766648869738006,2.1483567258298137,0.4766648869738006,0.4766648869738005,0.18520327141192253,-13.050582606712783,-3.2548712983344057,0.16225619281158593,0.30672288185170143,1.9578509782574944,1,11.434,25.788,1.866,1.147,0.274,0.07235923685435086,0.23888404533565824,202.03269091406915,1.8214847482641994e-11,1.2052660113770453,25.85542302883478,1.179273081181793,0.21356563369670858,5.521829803649574,2.9775166900318593,0.7211215453547756,1.5128480512440416,(25.788-1.866j),(1.147-0.274j),(0.2128631993654776-0.017307173430969287j),(5.457020999614748-0.8435201184538172j),(1.890211948973829+2.3005878438727j),(0.4421732357445086+0.45699626284588823j),(-0.5578267642554914+0.45699626284588823j),(1.4421732357445087+0.45699626284588823j),(-0.2602502924049174+0.39934846910549315j)
sample189,-6.631254875133246,-6.631254875133249,0.6279326658098909,0.4483407667441,0.43964757438933816,0.6279326658098909,0.7756087165643094,-0.26438480988018687,0.383807269340479,0.4660550908358126,2.173998343782331,0.46605509083581254,0.4660550908358127,0.18546086838246298,-12.82029790212291,-3.2595053876679296,0.16708952009034003,0.31998477685885146,1.9735295369040216,1,11.476,25.706,1.969,1.143,0.284,0.07659690344666616,0.2484689413823272,211.02952179114308,1.894241467546918e-11,1.2048714975023682,25.781299366013343,1.177754218841945,0.21373464952919558,5.510356984402134,2.937907668190772,0.7054203706322324,1.5135986807206578,(25.706-1.969j),(1.143-0.284j),(0.2129891785345184-0.017835645111941037j),(5.439981438182918-0.8778587857820231j),(1.918685113900939+2.2248480623424784j),(0.4483407667441+0.43964757438933816j),(-0.5516592332559+0.43964757438933816j),(1.4483407667441+0.43964757438933816j),(-0.264384809880187+0.38380726934047904j)
sample190,-6.590879223968919,-6.590879223968922,0.6212957373263233,0.44378004689015177,0.43481911549750707,0.6212957373263233,0.7751994048683802,-0.27005634987062355,0.3824992455549247,0.4682265530227127,2.185558527913788,0.4682265530227127,0.4682265530227128,0.18500219161378617,-12.631240946471232,-3.251254253568842,0.1697319802622041,0.3227144548495073,1.9775804449806094,1,11.518,25.613,1.963,1.134,0.285,0.07664076835981729,0.25132275132275134,212.43688147588128,1.9241621910613592e-11,1.2074184587334047,25.68811277614609,1.169265153846637,0.2133488980015929,5.480530552531408,2.9121113028748082,0.7060087105975082,1.507835696287949,(25.613-1.963j),(1.134-0.285j),(0.21258106442399097-0.01808433927068098j),(5.409339245103334-0.8804908112042462j),(1.8998261997409798+2.207046137059432j),(0.44378004689015177+0.43481911549750707j),(-0.5562199531098482+0.43481911549750707j),(1.4437800468901518+0.43481911549750707j),(-0.27005634987062355+0.38249924555492476j)
sample191,-6.449646719677645,-6.449646719677645,0.6143717051684403,0.43436530546908225,0.4344874837280445,0.6143717051684403,0.785538783603398,-0.27715789479823516,0.3868673607193944,0.4759021469157075,2.192454863103177,0.4759021469157075,0.47590214691570754,0.18416078493051344,-12.436692902377388,-3.2361219591662578,0.17313561904595842,0.3210136943618391,1.9775815038848183,1,11.56,25.515,1.89,1.122,0.283,0.07407407407407407,0.25222816399286985,210.57068699195014,1.9446564463549842e-11,1.2117683033224473,25.58490424058687,1.1571400088148367,0.21266746632226968,5.441076760943503,2.888884302770789,0.7132474894266452,1.4987271943384963,(25.515-1.89j),(1.122-0.283j),(0.21187110036830645-0.018387171089015282j),(5.3711393725391-0.8695850500323241j),(1.8581736808743348+2.2119771894170595j),(0.43436530546908225+0.4344874837280445j),(-0.5656346945309177+0.4344874837280445j),(1.4343653054690821+0.4344874837280445j),(-0.27715789479823516+0.3868673607193945j)
sample192,-6.336307065684687,-6.336307065684686,0.6037380493225594,0.4248750819044719,0.4289298275667914,0.6037380493225594,0.7901471583202136,-0.28700482165368074,0.3874267739258231,0.4821527484180007,2.208381833785305,0.4821527484180007,0.48215274841800065,0.18354031737955356,-12.14302120058239,-3.22496625932396,0.17905639943288526,0.32359916888879536,1.983127368605238,1,11.602,25.36,1.836,1.11,0.285,0.07239747634069402,0.2567567567567567,211.33770333418437,1.9937286112269917e-11,1.2175944561980172,25.426374023835958,1.1460039266948434,0.2123004121339308,5.3980296843318465,2.843791226093749,0.717460429843253,1.4880355493094755,(25.36-1.836j),(1.11-0.285j),(0.21145015469169304-0.018981492910094322j),(5.327525901998402-0.8695931442139404j),(1.8126362949713533+2.19123211909654j),(0.4248750819044719+0.4289298275667914j),(-0.5751249180955281+0.4289298275667914j),(1.4248750819044718+0.4289298275667914j),(-0.2870048216536807+0.387426773925823j)
sample193,-6.276738977824239,-6.276738977824234,0.6115731883642728,0.42494345008992973,0.4398236339167208,0.6115731883642728,0.8026036234070738,-0.28147659350949306,0.3955410947016844,0.48547073062288243,2.1892812030562565,0.48547073062288243,0.4854707306228822,0.1833861785518171,-12.358816669393782,-3.222195327485365,0.17786103865084557,0.31422123367962945,1.9731517530050524,1,11.644,25.32,1.729,1.107,0.278,0.06828593996840443,0.2511291779584463,205.3990390006217,1.948261988824484e-11,1.215804591880418,25.37896453758506,1.1413732956399496,0.21206886117353374,5.382088107249162,2.883842469752449,0.7239715909800486,1.4912775277948438,(25.32-1.729j),(1.107-0.278j),(0.21123082585240868-0.018834545100663437j),(5.315799582103941-0.8421087798476129j),(1.8116850575180996+2.243734530356375j),(0.42494345008992973+0.4398236339167208j),(-0.5750565499100703+0.4398236339167208j),(1.4249434500899296+0.4398236339167208j),(-0.28147659350949294+0.3955410947016843j)
sample194,-6.207047564544435,-6.207047564544437,0.6346542656909165,0.4303475617707433,0.46646223109449364,0.6346542656909165,0.8256465710016596,-0.26384755193106746,0.4121635640132415,0.48938158338878546,2.1402177246929224,0.4893815833887854,0.48938158338878546,0.18315114504222751,-13.014437422498403,-3.2179704754052474,0.1727048999936625,0.29339839236366716,1.9497508423604986,1,11.686,25.422,1.536,1.108,0.263,0.06042010856738258,0.23736462093862815,192.70114805585314,1.833202098554073e-11,1.20845648832532,25.4683603712528,1.1387857568480562,0.21145624709654112,5.3854439038073885,3.001350276500286,0.7362682346931653,1.5044870090835492,(25.422-1.536j),(1.108-0.263j),(0.21066834915311894-0.018237080392788436j),(5.3275986166872675-0.7872096420446582j),(1.83732546284397+2.373254859013995j),(0.4303475617707433+0.46646223109449364j),(-0.5696524382292567+0.46646223109449364j),(1.4303475617707433+0.46646223109449364j),(-0.26384755193106746+0.4121635640132415j)
sample195,-6.568273885696428,-6.568273885696426,0.6793643684456769,0.46683906963740107,0.49355569916036757,0.6793643684456769,0.8132093738742006,-0.22480832022324232,0.41211823392095176,0.4694467164351245,2.070174009758671,0.4694467164351245,0.4694467164351244,0.1838767644462823,-14.382663029544014,-3.2310150843248886,0.16393589428149516,0.277929437384246,1.9298973845249936,1,11.728,25.763,1.47,1.122,0.252,0.057058572371230055,0.2245989304812834,185.3739405775812,1.70683236608281e-11,1.1886473724333848,25.804903971919757,1.1499513033167972,0.211100178854135,5.44741984378604,3.218208398179998,0.7265382342580405,1.5476479200349138,(25.763-1.47j),(1.122-0.252j),(0.2103914117550208-0.01728407856893419j),(5.394906345548268-0.7545650914513321j),(2.012604645506451+2.5112323339352973j),(0.46683906963740107+0.49355569916036757j),(-0.5331609303625989+0.49355569916036757j),(1.466839069637401+0.49355569916036757j),(-0.2248083202232423+0.41211823392095176j)
