materials,RL,RL_z_xy,zin/z0,x,y,r,theta,a_1,b_1,r_1,tehta_1,z_xy,z,r1,RL_r,RL_r1,theta_eu1,theta_eu2,theta1,d,f,e1,e2,u1,u2,tane,tanu,ac,C0,dm,e12,u12,sqrt_eu1,sqrt_eu2,tanh_eu,z1,z2,e_c,u_c,sqrt_eu1_c,sqrt_eu2_c,tanh_eu_c,zin/z0_c,z1_c,z2_c,z_c
sample756,-8.150825879,-8.150825879,0.443978466,0.439632544,0.061968573,0.443978466,0.140032834,-0.386674097,0.059688992,0.391253924,2.988436402,0.391253924,0.391253924,0.138122086,-8.289382099,-2.414861993,0.067520817,0.454288196,2.058048605,1,8.725,54.833,10.738,1.236,0.33,0.195830978,0.266990291,347.9735444,2.48E-11,1.043460377,55.8745249,1.279295118,0.151313769,8.454584966,2.934157732,0.56378346,1.440965637,(54.833-10.738j),(1.236-0.33j),(0.15122754632598298-0.00510744431199303j),(8.237416310670444-1.9039378864079186j),(2.889957368663031+0.5073736319538502j),(0.43963254442018235+0.06196857310640278j),(-0.5603674555798177+0.06196857310640278j),(1.4396325444201823+0.06196857310640278j),(-0.3866740968624737+0.059688991805048414j)
sample627,-4.578237808,-4.578237808,0.258111906,0.257670669,0.015085834,0.258111906,0.058480202,-0.590012655,0.019072296,0.590320832,3.109278674,0.590320832,0.590320832,0.182960558,-4.587617412,-3.214544845,-0.220912435,1.037416534,2.496960317,1,12.043,31.966,23.266,1.327,0.574,0.727835826,0.432554635,945.5610867,2.71E-11,0.955558636,39.53646307,1.445823295,0.191231179,7.560604427,1.349737568,0.742482605,1.257761143,(31.966-23.266j),(1.327-0.574j),(0.190065798838188+0.021079747357156682j),(6.566084727673126-3.7482356717504115j),(1.3479148160800443-0.07012239826852434j),(0.2576706687236613+0.015085834138578997j),(-0.7423293312763387+0.015085834138578997j),(1.2576706687236614+0.015085834138578997j),(-0.5900126545340005+0.019072295936490548j)
sample262,-1.807770218,-1.807770218,0.417721644,0.120487114,0.399967783,0.417721644,1.278200427,-0.583206422,0.56513953,0.8121037,2.371926161,0.8121037,0.8121037,0.190451818,-7.729206449,-3.349382421,0.146080046,0.182307611,1.825347634,1,10.153,20.369,0.369,1.189,0.197,0.018115764,0.16568545,95.92843752,1.37E-11,1.500035266,20.37234208,1.205209525,0.243226448,4.955092404,1.717418674,0.966186909,1.189733416,(20.369-0.369j),(1.189-0.197j),(0.24257794876452643-0.017749473708463078j),(4.934520682586215-0.4510502930617949j),(0.3740472311691248+1.676190791807632j),(0.1204871144676144+0.39996778251932297j),(-0.8795128855323856+0.39996778251932297j),(1.1204871144676143+0.39996778251932297j),(-0.5832064218031601+0.5651395304977105j)
sample441,-7.56580955,-7.56580955,0.438334171,0.418383522,0.130736658,0.438334171,0.302867029,-0.398177144,0.128874176,0.418513549,2.828572849,0.418513549,0.418513549,0.141112789,-8.167635901,-2.467848737,-0.039588868,0.47281295,2.023018516,1,8.83,50.386,13.199,1.236,0.272,0.261957687,0.220064725,351.7224611,2.02E-11,1.075590003,52.08610752,1.265574968,0.15587734,8.119043901,2.812045484,0.596129014,1.424395973,(50.386-13.199j),(1.236-0.272j),(0.1558468032783336+0.003085302263384698j),(7.893219934556531-1.9015659166278238j),(2.70013106328114+0.7854247561255431j),(0.4183835218671011+0.1307366579388073j),(-0.581616478132899+0.1307366579388073j),(1.418383521867101+0.1307366579388073j),(-0.3981771435046602+0.12887417551749777j)
sample544,-7.631893698,-7.631893698,0.445954154,0.423049749,0.141081596,0.445954154,0.321888857,-0.391752979,0.137978824,0.415341489,2.802951491,0.415341489,0.415341489,0.139634148,-8.332176396,-2.441645775,-0.029859285,0.457576911,2.012647268,1,8.725,51.347,12.768,1.234,0.268,0.248661071,0.217179903,338.8170285,2.02E-11,1.079173033,52.91064385,1.262766803,0.15448633,8.173971165,2.88669007,0.593949163,1.430026086,(51.347-12.768j),(1.234-0.268j),(0.15446911285483822+0.0023063399962158057j),(7.960972886829061-1.8538379931448816j),(2.7517568914419708+0.8722462796300888j),(0.42304974933196726+0.14108159598398806j),(-0.5769502506680327+0.14108159598398806j),(1.4230497493319674+0.14108159598398806j),(-0.3917529785420957+0.1379788243667253j)
sample799,-5.753275479,-5.753275479,0.319859948,0.319636219,0.011961343,0.319859948,0.037404284,-0.515444687,0.013736174,0.515627683,3.114949787,0.515627683,0.515627683,0.132643089,-5.758589993,-2.31790473,0.04629558,0.607964541,2.201112331,1,10.447,49.255,14.208,1.002,0.34,0.288458025,0.339321357,482.4228476,3.24E-11,1.021224017,51.26326452,1.058113415,0.143668971,7.364940455,2.226367642,0.680468918,1.319690427,(49.255-14.208j),(1.002-0.34j),(0.14363048219122881-0.0033253221517929176j),(7.0272732231963015-2.2044906335595393j),(2.222287340513957+0.13472881076996213j),(0.31963621898442124+0.01196134273488045j),(-0.6803637810155787+0.01196134273488045j),(1.3196362189844213+0.01196134273488045j),(-0.5154446870583346+0.01373617443723131j)
sample138,-3.104166996,-3.104166996,0.408367221,0.200044314,0.356014128,0.408367221,1.058862822,-0.531789852,0.454432242,0.699506332,2.434472541,0.699506332,0.699506332,0.179269407,-7.533273605,-3.148248199,0.195498587,0.320859846,1.98860914,1,9.439,24.967,1.567,1.208,0.319,0.062762847,0.264072848,176.5782914,2.32E-11,1.44586919,25.01612636,1.249409861,0.22348194,5.590652462,1.827294052,0.875599885,1.251739755,(24.967-1.567j),(1.208-0.319j),(0.22241511381943926-0.021810430147959744j),(5.518861202688087-0.8930654928591722j),(0.7353821665885687+1.6727870816830297j),(0.2000443140800395+0.35601412779178343j),(-0.7999556859199605+0.35601412779178343j),(1.2000443140800394+0.35601412779178343j),(-0.5317898515969165+0.4544322418582028j)
sample637,-6.680178747,-6.680178747,0.429239858,0.382746509,0.194298649,0.429239858,0.469743427,-0.418390758,0.199307252,0.463437383,2.697030139,0.463437383,0.463437383,0.135079551,-7.973029628,-2.361002686,0.12797841,0.434998718,2.068987923,1,8.2,53.242,8.238,1.2,0.347,0.154727471,0.289166667,304.0715548,2.94E-11,1.143510038,53.87555297,1.24916332,0.152269787,8.203618995,2.818943042,0.64711192,1.396330861,(53.242-8.238j),(1.2-0.347j),(0.15195815038728921-0.009736974606737413j),(8.010342646109748-1.7702472449024016j),(2.4268677961921408+1.434138269286331j),(0.38274650945442584+0.19429864869494728j),(-0.6172534905455742+0.19429864869494728j),(1.3827465094544258+0.19429864869494728j),(-0.41839075836285033+0.1993072524768406j)
sample821,-4.025869024,-4.025869024,0.230258222,0.227941035,-0.032584247,0.230258222,-0.141988379,-0.627596643,-0.043189379,0.629080971,-3.072883884,0.629080971,0.629080971,0.132627756,-4.073024344,-2.317633584,-0.038139137,0.74921359,2.300144021,1,11.329,51.618,21.44,1.018,0.378,0.415358983,0.371316306,676.5009341,3.22E-11,0.912652788,55.89357319,1.08591344,0.139385201,7.790736959,1.651956013,0.772746257,1.228373282,(51.618-21.44j),(1.018-0.378j),(0.13935985860640573+0.002657854586216225j),(7.2504615838739275-2.8506822304900297j),(1.6305766969887994-0.26491188264084503j),(0.22794103520147932-0.03258424675571593j),(-0.7720589647985207-0.03258424675571593j),(1.2279410352014792-0.03258424675571593j),(-0.6275966429388624-0.04318937889684012j)
sample306,-5.49538983,-5.49538983,0.559337578,0.367531421,0.421638686,0.559337578,0.853853267,-0.33553118,0.411772339,0.531166294,2.25452458,0.531166294,0.531166294,0.202498349,-10.97668257,-3.567057967,0.270733258,0.345518668,2.050885297,1,11.917,20.449,0.765,1.128,0.359,0.037410142,0.318262411,211.1990514,2.37E-11,1.309525955,20.46330438,1.183750396,0.240515011,4.921731876,2.325582824,0.760128729,1.431056032,(20.449-0.765j),(1.128-0.359j),(0.23831476034625487-0.03245836546300141j),(4.84846788474137-0.8460519070178011j),(1.2775400419109593+1.9432516343483062j),(0.36753142065500677+0.4216386859582206j),(-0.6324685793449932+0.4216386859582206j),(1.3675314206550069+0.4216386859582206j),(-0.3355311800931573+0.411772339066986j)
sample793,-5.041429146,-5.041429146,0.283111754,0.282442377,0.01945685,0.283111754,0.068779196,-0.559165371,0.023655212,0.559665508,3.099313362,0.559665508,0.559665508,0.130073121,-5.056260466,-2.272475911,0.096985824,0.695081431,2.313574343,1,10.195,50.306,15.509,0.971,0.406,0.308293245,0.418125644,541.3946121,4.22E-11,1.051876854,52.64240417,1.052462351,0.141395448,7.443396298,2.002269229,0.717821365,1.282589965,(50.306-15.509j),(0.971-0.406j),(0.14122923001095014-0.0068539899927837844j),(6.998379114132773-2.5351209488168065j),(1.988516649548974+0.23427248907315507j),(0.2824423765754479+0.019456850028057818j),(-0.7175576234245521+0.019456850028057818j),(1.2824423765754478+0.019456850028057818j),(-0.5591653711721448+0.023655212390006973j)
sample590,-4.163310024,-4.163310024,0.237372816,0.235405553,0.030497208,0.237372816,0.128834204,-0.617915624,0.039939847,0.619205063,3.077046034,0.619205063,0.619205063,0.1363678,-4.203765787,-2.38380186,-0.071050601,0.90006435,2.434539049,1,10.552,44.719,23.598,1,0.44,0.527695163,0.44,714.626777,4.17E-11,1.06216213,50.56337177,1.092520023,0.146993012,7.432462316,1.61485783,0.765202423,1.235781922,(44.719-23.598j),(1-0.44j),(0.14690026575519208+0.0052208725677082325j),(6.692435135159214-3.2330802709356776j),(1.60783300709855+0.15046205790311373j),(0.23540555280215933+0.03049720753225716j),(-0.7645944471978406+0.03049720753225716j),(1.2354055528021592+0.03049720753225716j),(-0.6179156242810121+0.039939846839332736j)
